TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2018,24,34,28.1,80,21.3,8,6,240,5,W 
02-01-2018,24,34,29.7,75,-,6.9,5,250,6,W 
03-01-2018,26,34.8,28.3,78,-,4.3,5,280,7,W 
04-01-2018,26,33.8,29,76,8888,4.8,5,230,6,W 
05-01-2018,26,30.8,27.8,72,0.3,1.8,7,250,10,W 
06-01-2018,25,33.6,28.3,74,-,2.1,6,230,7,W 
07-01-2018,26,30.6,27.9,78,-,0,3,260,4,W 
08-01-2018,23,34.2,28.7,77,-,2.5,4,260,5,SW
09-01-2018,24,34,28.3,80,-,4.3,4,190,4,S 
10-01-2018,25,34.2,30,70,-,5.1,4,220,4,W 
11-01-2018,24,33,27.1,77,0.3,0.7,6,260,6,W 
12-01-2018,25,32.4,27.9,68,0.2,1.1,7,260,6,W 
13-01-2018,25,33,27.9,81,1.5,3.8,4,260,6,W 
14-01-2018,-,-,-,87,12.2,3.4,4,270,5,W 
15-01-2018,23,31,24.4,93,9.7,1.7,5,230,5,W 
16-01-2018,23,30.6,26.6,76,19.3,2.1,6,260,9,W 
17-01-2018,24,29.8,25.9,87,-,0,3,220,3,SW
18-01-2018,24,29,25.1,92,2.3,0,2,220,2,W 
19-01-2018,24,29.2,26.1,84,6,0,5,250,7,W 
20-01-2018,24,31.4,26.5,84,1.3,2,9,230,7,SW
21-01-2018,24,31.6,27,82,6.2,0.7,4,250,5,W 
22-01-2018,24,30.4,25.6,89,4.5,0,6,260,10,W 
23-01-2018,24,32.2,26.7,84,1.5,3.6,4,260,7,W 
24-01-2018,24,34,27.1,84,7.8,4.4,4,260,5,W 
25-01-2018,25,29.6,25.8,85,26,0.1,5,230,6,SW
26-01-2018,23,31.2,26.9,83,-,1.6,6,260,7,W 
27-01-2018,23,32.2,28,76,4.2,1.9,5,260,6,W 
28-01-2018,24,28.8,25.2,90,1.3,0.8,5,260,6,W 
29-01-2018,23,31.2,25.8,86,7.6,3.4,4,240,7,SW
30-01-2018,24,31.3,26,90,10.7,5.9,4,260,6,W 
31-01-2018,24,31.4,26.9,84,4.4,1.8,3,250,5,W 
