BULAN,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,TAHUN
1,25.310344827586206,33.53103448275862,28.209999999999997,84.58064516129032,10.166666666666666,4.438709677419355,3.4838709677419355,187.41935483870967,1.6451612903225807,2016
2,25.082758620689653,32.13846153846154,27.51923076923077,86.61538461538461,14.39,3.022222222222222,3.7586206896551726,248.9655172413793,1.7241379310344827,2016
3,24.0,32.0,26.9,88.0,44.2,2.5,5.0,290.0,3.0,2016
4,25.4,34.0,28.2,84.0,0.2,5.5,3.0,260.0,2.0,2016
5,24.8,32.4,28.1,84.0,23.0,1.8,4.0,60.0,3.0,2016
6,24.4,33.8,28.1,87.0,,3.8,3.0,100.0,2.0,2016
7,24.432258064516127,33.37096774193548,27.451612903225808,84.70967741935483,14.566666666666666,5.996774193548387,3.193548387096774,137.41935483870967,1.3870967741935485,2016
8,24.183870967741935,32.906451612903226,27.551612903225806,80.19354838709677,17.610526315789475,5.622580645161291,3.096774193548387,148.06451612903226,1.096774193548387,2016
9,24.47241379310345,32.89,27.65666666666667,81.3,14.168421052631578,5.11,3.2666666666666666,188.0,1.3333333333333333,2016
10,24.06451612903226,32.7,27.42258064516129,82.38709677419355,12.41578947368421,2.933333333333333,3.806451612903226,179.3548387096774,3.6774193548387095,2016
11,24.41176470588235,33.188235294117646,27.741176470588236,81.875,26.38181818181818,3.423529411764706,3.3529411764705883,212.94117647058823,3.6470588235294117,2016
12,24.809677419354838,32.7,27.5,80.61290322580645,6.1875,3.77,5.225806451612903,250.32258064516128,5.645161290322581,2016
