BULAN,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,TAHUN
1,23.555555555555557,31.135483870967743,27.312903225806455,84.61290322580645,13.428571428571429,3.94,4.064516129032258,246.1290322580645,1.8709677419354838,2019
2,24.22142857142857,32.107142857142854,27.842857142857145,83.89285714285714,11.342857142857143,4.87037037037037,3.8214285714285716,227.14285714285714,1.5714285714285714,2019
3,23.83,32.11290322580645,27.561290322580643,82.83870967741936,10.37857142857143,4.087096774193548,4.0,233.5483870967742,1.6451612903225807,2019
4,24.0,32.64666666666667,28.073333333333334,82.86666666666666,17.445454545454545,5.755172413793104,3.8,175.0,1.3,2019
5,24.755555555555556,33.08387096774193,28.738709677419354,77.54838709677419,10.818750000000001,6.680645161290323,3.5161290322580645,101.61290322580645,1.6129032258064515,2019
6,24.133333333333333,32.99333333333333,28.346666666666668,74.93333333333334,8.766666666666667,5.776666666666667,3.2,137.66666666666666,1.2666666666666666,2019
7,23.64516129032258,33.21290322580645,28.14516129032258,72.2258064516129,0.31666666666666665,8.261290322580646,3.7096774193548385,116.93548387096774,1.6451612903225807,2019
8,23.366666666666667,33.36129032258064,27.95,69.7,0.9333333333333333,7.1689655172413795,3.838709677419355,99.35483870967742,1.7741935483870968,2019
9,24.066666666666666,34.24666666666667,28.743333333333332,67.66666666666667,0.0,7.364285714285714,3.8,109.66666666666667,2.066666666666667,2019
10,24.533333333333335,34.722580645161294,29.42258064516129,68.6774193548387,3.221428571428571,7.961290322580646,3.774193548387097,125.48387096774194,1.7741935483870968,2019
11,24.642857142857142,34.03,28.94,74.13333333333334,6.405882352941177,6.476666666666666,3.3333333333333335,149.0,1.5,2019
12,24.541666666666668,32.04516129032258,27.932258064516127,82.35483870967742,9.166666666666666,4.393548387096774,3.5161290322580645,206.7741935483871,1.3548387096774193,2019
